iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
116,"((5, 12), ((1, 1), (1, 12)))","((4, 12), ((1, 1), (1, 12)))",East,"[((5, 11), ((1, 1), (1, 12))), ((6, 12), ((1, 1), (1, 12))), ((4, 12), ((1, 1), (1, 12)))]","[((5, 12), ((1, 1), (1, 12))), ((3, 8), ()), ((7, 11), ()), ((3, 12), ((1, 12),)), ((7, 10), ()), ((3, 11), ((1, 12),)), ((7, 12), ()), ((7, 7), ()), ((6, 4), ((1, 1),)), ((13, 5), ()), ((14, 1), ()), ((3, 10), ((1, 12),)), ((6, 6), ((1, 1),)), ((6, 11), ((1, 1),)), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((14, 2), ())]","[((6, 12), ((1, 1), (1, 12))), ((3, 8), ()), ((7, 11), ()), ((3, 12), ((1, 12),)), ((7, 10), ()), ((3, 11), ((1, 12),)), ((7, 12), ()), ((7, 7), ()), ((6, 4), ((1, 1),)), ((14, 2), ()), ((13, 5), ()), ((3, 10), ((1, 12),)), ((6, 6), ((1, 1),)), ((6, 11), ((1, 1),)), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((5, 11), ((1, 1), (1, 12))), ((14, 1), ())]",116,41,34,75
117,"((6, 12), ((1, 1), (1, 12)))","((5, 12), ((1, 1), (1, 12)))",East,"[((6, 11), ((1, 1), (1, 12))), ((7, 12), ((1, 1), (1, 12))), ((5, 12), ((1, 1), (1, 12)))]","[((6, 12), ((1, 1), (1, 12))), ((3, 8), ()), ((7, 11), ()), ((3, 12), ((1, 12),)), ((7, 10), ()), ((3, 11), ((1, 12),)), ((7, 12), ()), ((7, 7), ()), ((6, 4), ((1, 1),)), ((14, 2), ()), ((13, 5), ()), ((3, 10), ((1, 12),)), ((6, 6), ((1, 1),)), ((6, 11), ((1, 1),)), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((5, 11), ((1, 1), (1, 12))), ((14, 1), ())]","[((7, 12), ((1, 1), (1, 12))), ((3, 8), ()), ((7, 11), ()), ((3, 12), ((1, 12),)), ((7, 10), ()), ((3, 11), ((1, 12),)), ((7, 12), ()), ((7, 7), ()), ((6, 4), ((1, 1),)), ((14, 2), ()), ((13, 5), ()), ((3, 10), ((1, 12),)), ((6, 6), ((1, 1),)), ((6, 11), ((1, 1),)), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((5, 11), ((1, 1), (1, 12))), ((6, 11), ((1, 1), (1, 12))), ((14, 1), ())]",117,42,33,75
118,"((7, 12), ((1, 1), (1, 12)))","((6, 12), ((1, 1), (1, 12)))",East,"[((7, 11), ((1, 1), (1, 12))), ((6, 12), ((1, 1), (1, 12)))]","[((7, 12), ((1, 1), (1, 12))), ((3, 8), ()), ((7, 11), ()), ((3, 12), ((1, 12),)), ((7, 10), ()), ((3, 11), ((1, 12),)), ((7, 12), ()), ((7, 7), ()), ((6, 4), ((1, 1),)), ((14, 2), ()), ((13, 5), ()), ((3, 10), ((1, 12),)), ((6, 6), ((1, 1),)), ((6, 11), ((1, 1),)), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((5, 11), ((1, 1), (1, 12))), ((6, 11), ((1, 1), (1, 12))), ((14, 1), ())]","[((3, 8), ()), ((7, 10), ()), ((7, 11), ()), ((3, 12), ((1, 12),)), ((13, 5), ()), ((3, 11), ((1, 12),)), ((7, 12), ()), ((7, 7), ()), ((6, 4), ((1, 1),)), ((14, 2), ()), ((14, 1), ()), ((3, 10), ((1, 12),)), ((6, 6), ((1, 1),)), ((6, 11), ((1, 1),)), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((5, 11), ((1, 1), (1, 12))), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12)))]",118,43,32,75
119,"((3, 8), ())","((2, 8), ())",East,"[((2, 8), ())]","[((3, 8), ()), ((7, 10), ()), ((7, 11), ()), ((3, 12), ((1, 12),)), ((13, 5), ()), ((3, 11), ((1, 12),)), ((7, 12), ()), ((7, 7), ()), ((6, 4), ((1, 1),)), ((14, 2), ()), ((14, 1), ()), ((3, 10), ((1, 12),)), ((6, 6), ((1, 1),)), ((6, 11), ((1, 1),)), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((5, 11), ((1, 1), (1, 12))), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12)))]","[((7, 10), ()), ((3, 12), ((1, 12),)), ((7, 11), ()), ((7, 7), ()), ((13, 5), ()), ((3, 11), ((1, 12),)), ((7, 12), ()), ((6, 12), ((1, 1),)), ((6, 4), ((1, 1),)), ((14, 2), ()), ((14, 1), ()), ((3, 10), ((1, 12),)), ((6, 6), ((1, 1),)), ((6, 11), ((1, 1),)), ((6, 10), ((1, 1),)), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((5, 11), ((1, 1), (1, 12))), ((6, 11), ((1, 1), (1, 12)))]",119,21,55,76
120,"((7, 10), ())","((6, 10), ())",East,"[((7, 11), ()), ((6, 10), ())]","[((7, 10), ()), ((3, 12), ((1, 12),)), ((7, 11), ()), ((7, 7), ()), ((13, 5), ()), ((3, 11), ((1, 12),)), ((7, 12), ()), ((6, 12), ((1, 1),)), ((6, 4), ((1, 1),)), ((14, 2), ()), ((14, 1), ()), ((3, 10), ((1, 12),)), ((6, 6), ((1, 1),)), ((6, 11), ((1, 1),)), ((6, 10), ((1, 1),)), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((5, 11), ((1, 1), (1, 12))), ((6, 11), ((1, 1), (1, 12)))]","[((7, 11), ()), ((3, 12), ((1, 12),)), ((7, 12), ()), ((7, 7), ()), ((13, 5), ()), ((3, 11), ((1, 12),)), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((6, 4), ((1, 1),)), ((14, 2), ()), ((14, 1), ()), ((3, 10), ((1, 12),)), ((6, 6), ((1, 1),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((5, 11), ((1, 1), (1, 12)))]",120,19,57,76
121,"((7, 11), ())","((6, 11), ())",East,"[((7, 12), ()), ((7, 10), ()), ((6, 11), ())]","[((7, 11), ()), ((3, 12), ((1, 12),)), ((7, 12), ()), ((7, 7), ()), ((13, 5), ()), ((3, 11), ((1, 12),)), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((6, 4), ((1, 1),)), ((14, 2), ()), ((14, 1), ()), ((3, 10), ((1, 12),)), ((6, 6), ((1, 1),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((5, 11), ((1, 1), (1, 12)))]","[((7, 12), ()), ((3, 12), ((1, 12),)), ((3, 11), ((1, 12),)), ((7, 7), ()), ((13, 5), ()), ((3, 10), ((1, 12),)), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((6, 4), ((1, 1),)), ((14, 2), ()), ((14, 1), ()), ((5, 11), ((1, 1), (1, 12))), ((6, 6), ((1, 1),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12)))]",121,20,56,76
122,"((7, 12), ())","((6, 12), ())",East,"[((7, 11), ()), ((6, 12), ())]","[((7, 12), ()), ((3, 12), ((1, 12),)), ((3, 11), ((1, 12),)), ((7, 7), ()), ((13, 5), ()), ((3, 10), ((1, 12),)), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((6, 4), ((1, 1),)), ((14, 2), ()), ((14, 1), ()), ((5, 11), ((1, 1), (1, 12))), ((6, 6), ((1, 1),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12)))]","[((3, 12), ((1, 12),)), ((7, 7), ()), ((3, 11), ((1, 12),)), ((6, 4), ((1, 1),)), ((13, 5), ()), ((3, 10), ((1, 12),)), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((2, 11), ((1, 1), (1, 12))), ((14, 2), ()), ((14, 1), ()), ((5, 11), ((1, 1), (1, 12))), ((6, 6), ((1, 1),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12)))]",122,21,55,76
123,"((3, 12), ((1, 12),))","((2, 12), ((1, 12),))",East,"[((3, 11), ((1, 12),)), ((4, 12), ((1, 12),)), ((2, 12), ((1, 12),))]","[((3, 12), ((1, 12),)), ((7, 7), ()), ((3, 11), ((1, 12),)), ((6, 4), ((1, 1),)), ((13, 5), ()), ((3, 10), ((1, 12),)), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((2, 11), ((1, 1), (1, 12))), ((14, 2), ()), ((14, 1), ()), ((5, 11), ((1, 1), (1, 12))), ((6, 6), ((1, 1),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12)))]","[((3, 11), ((1, 12),)), ((7, 7), ()), ((3, 10), ((1, 12),)), ((6, 4), ((1, 1),)), ((13, 5), ()), ((6, 6), ((1, 1),)), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((2, 11), ((1, 1), (1, 12))), ((14, 2), ()), ((14, 1), ()), ((5, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12))), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),))]",123,25,51,76
124,"((3, 11), ((1, 12),))","((2, 11), ((1, 12),))",East,"[((3, 12), ((1, 12),)), ((3, 10), ((1, 12),)), ((4, 11), ((1, 12),)), ((2, 11), ((1, 12),))]","[((3, 11), ((1, 12),)), ((7, 7), ()), ((3, 10), ((1, 12),)), ((6, 4), ((1, 1),)), ((13, 5), ()), ((6, 6), ((1, 1),)), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((2, 11), ((1, 1), (1, 12))), ((14, 2), ()), ((14, 1), ()), ((5, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12))), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),))]","[((3, 10), ((1, 12),)), ((7, 7), ()), ((6, 6), ((1, 1),)), ((6, 4), ((1, 1),)), ((13, 5), ()), ((3, 11), ((1, 1), (1, 12))), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((2, 11), ((1, 1), (1, 12))), ((14, 2), ()), ((14, 1), ()), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),))]",124,26,50,76
125,"((3, 10), ((1, 12),))","((2, 10), ((1, 12),))",East,"[((3, 11), ((1, 12),)), ((4, 10), ((1, 12),)), ((2, 10), ((1, 12),))]","[((3, 10), ((1, 12),)), ((7, 7), ()), ((6, 6), ((1, 1),)), ((6, 4), ((1, 1),)), ((13, 5), ()), ((3, 11), ((1, 1), (1, 12))), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((2, 11), ((1, 1), (1, 12))), ((14, 2), ()), ((14, 1), ()), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),))]","[((7, 7), ()), ((13, 5), ()), ((6, 6), ((1, 1),)), ((6, 4), ((1, 1),)), ((14, 2), ()), ((3, 11), ((1, 1), (1, 12))), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((2, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),)), ((14, 1), ()), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((4, 10), ((1, 12),))]",125,27,49,76
126,"((7, 7), ())","((7, 6), ())",North,"[((7, 8), ()), ((7, 6), ())]","[((7, 7), ()), ((13, 5), ()), ((6, 6), ((1, 1),)), ((6, 4), ((1, 1),)), ((14, 2), ()), ((3, 11), ((1, 1), (1, 12))), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((2, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),)), ((14, 1), ()), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((4, 10), ((1, 12),))]","[((7, 8), ()), ((13, 5), ()), ((6, 6), ((1, 1),)), ((14, 2), ()), ((14, 1), ()), ((3, 11), ((1, 1), (1, 12))), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((6, 4), ((1, 1),)), ((4, 11), ((1, 12),)), ((4, 10), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12)))]",126,16,60,76
127,"((7, 8), ())","((7, 7), ())",North,"[((7, 7), ())]","[((7, 8), ()), ((13, 5), ()), ((6, 6), ((1, 1),)), ((14, 2), ()), ((14, 1), ()), ((3, 11), ((1, 1), (1, 12))), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((6, 4), ((1, 1),)), ((4, 11), ((1, 12),)), ((4, 10), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12)))]","[((13, 5), ()), ((14, 2), ()), ((6, 6), ((1, 1),)), ((6, 4), ((1, 1),)), ((14, 1), ()), ((3, 11), ((1, 1), (1, 12))), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((2, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),)), ((4, 10), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12)))]",127,17,59,76
128,"((13, 5), ())","((13, 4), ())",North,"[((13, 6), ()), ((13, 4), ())]","[((13, 5), ()), ((14, 2), ()), ((6, 6), ((1, 1),)), ((6, 4), ((1, 1),)), ((14, 1), ()), ((3, 11), ((1, 1), (1, 12))), ((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((2, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),)), ((4, 10), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12)))]","[((14, 2), ()), ((6, 4), ((1, 1),)), ((6, 6), ((1, 1),)), ((6, 12), ((1, 1),)), ((14, 1), ()), ((3, 11), ((1, 1), (1, 12))), ((6, 10), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),)), ((4, 10), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((13, 6), ())]",128,12,65,77
129,"((14, 2), ())","((13, 2), ())",East,"[((14, 1), ()), ((15, 2), ()), ((13, 2), ())]","[((14, 2), ()), ((6, 4), ((1, 1),)), ((6, 6), ((1, 1),)), ((6, 12), ((1, 1),)), ((14, 1), ()), ((3, 11), ((1, 1), (1, 12))), ((6, 10), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),)), ((4, 10), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((13, 6), ())]","[((6, 4), ((1, 1),)), ((14, 1), ()), ((6, 6), ((1, 1),)), ((6, 12), ((1, 1),)), ((4, 11), ((1, 12),)), ((3, 11), ((1, 1), (1, 12))), ((6, 10), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((13, 6), ()), ((4, 10), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((15, 2), ())]",129,14,63,77
130,"((6, 4), ((1, 1),))","((5, 4), ((1, 1),))",East,"[((7, 4), ((1, 1),)), ((5, 4), ((1, 1),))]","[((6, 4), ((1, 1),)), ((14, 1), ()), ((6, 6), ((1, 1),)), ((6, 12), ((1, 1),)), ((4, 11), ((1, 12),)), ((3, 11), ((1, 1), (1, 12))), ((6, 10), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((13, 6), ()), ((4, 10), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((15, 2), ())]","[((14, 1), ()), ((6, 12), ((1, 1),)), ((6, 6), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),)), ((3, 11), ((1, 1), (1, 12))), ((6, 10), ((1, 1),)), ((4, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((13, 6), ()), ((4, 10), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((15, 2), ()), ((7, 4), ((1, 1),))]",130,26,51,77
131,"((14, 1), ())","((13, 1), ())",East,"[((14, 2), ()), ((15, 1), ()), ((13, 1), ())]","[((14, 1), ()), ((6, 12), ((1, 1),)), ((6, 6), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),)), ((3, 11), ((1, 1), (1, 12))), ((6, 10), ((1, 1),)), ((4, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((13, 6), ()), ((4, 10), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((6, 11), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((15, 2), ()), ((7, 4), ((1, 1),))]","[((6, 6), ((1, 1),)), ((6, 12), ((1, 1),)), ((6, 10), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),)), ((3, 11), ((1, 1), (1, 12))), ((6, 11), ((1, 1),)), ((4, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((13, 6), ()), ((4, 10), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((7, 4), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((15, 2), ()), ((15, 1), ())]",131,15,62,77
132,"((6, 6), ((1, 1),))","((5, 6), ((1, 1),))",East,"[((7, 6), ((1, 1),)), ((5, 6), ((1, 1),))]","[((6, 6), ((1, 1),)), ((6, 12), ((1, 1),)), ((6, 10), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),)), ((3, 11), ((1, 1), (1, 12))), ((6, 11), ((1, 1),)), ((4, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((13, 6), ()), ((4, 10), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((7, 4), ((1, 1),)), ((6, 11), ((1, 1), (1, 12))), ((7, 11), ((1, 1), (1, 12))), ((15, 2), ()), ((15, 1), ())]","[((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((6, 11), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),)), ((3, 11), ((1, 1), (1, 12))), ((6, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((13, 6), ()), ((4, 10), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((7, 4), ((1, 1),)), ((15, 1), ()), ((7, 11), ((1, 1), (1, 12))), ((15, 2), ()), ((7, 6), ((1, 1),))]",132,28,49,77
133,"((6, 10), ((1, 1),))","((5, 10), ((1, 1),))",East,"[((6, 11), ((1, 1),)), ((7, 10), ((1, 1),)), ((5, 10), ((1, 1),))]","[((6, 10), ((1, 1),)), ((6, 12), ((1, 1),)), ((6, 11), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),)), ((3, 11), ((1, 1), (1, 12))), ((6, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((13, 6), ()), ((4, 10), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((4, 12), ((1, 12),)), ((7, 4), ((1, 1),)), ((15, 1), ()), ((7, 11), ((1, 1), (1, 12))), ((15, 2), ()), ((7, 6), ((1, 1),))]","[((6, 11), ((1, 1),)), ((6, 12), ((1, 1),)), ((3, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((6, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((13, 6), ()), ((4, 10), ((1, 12),)), ((7, 6), ((1, 1),)), ((4, 12), ((1, 12),)), ((7, 4), ((1, 1),)), ((15, 1), ()), ((7, 11), ((1, 1), (1, 12))), ((15, 2), ()), ((7, 10), ((1, 1),))]",133,32,45,77
134,"((6, 11), ((1, 1),))","((5, 11), ((1, 1),))",East,"[((6, 12), ((1, 1),)), ((6, 10), ((1, 1),)), ((7, 11), ((1, 1),)), ((5, 11), ((1, 1),))]","[((6, 11), ((1, 1),)), ((6, 12), ((1, 1),)), ((3, 11), ((1, 1), (1, 12))), ((1, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((6, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((13, 6), ()), ((4, 10), ((1, 12),)), ((7, 6), ((1, 1),)), ((4, 12), ((1, 12),)), ((7, 4), ((1, 1),)), ((15, 1), ()), ((7, 11), ((1, 1), (1, 12))), ((15, 2), ()), ((7, 10), ((1, 1),))]","[((6, 12), ((1, 1),)), ((1, 11), ((1, 1), (1, 12))), ((3, 11), ((1, 1), (1, 12))), ((2, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 12),)), ((5, 11), ((1, 1), (1, 12))), ((6, 11), ((1, 1), (1, 12))), ((4, 11), ((1, 1), (1, 12))), ((7, 10), ((1, 1),)), ((13, 6), ()), ((4, 10), ((1, 12),)), ((7, 6), ((1, 1),)), ((4, 12), ((1, 12),)), ((7, 4), ((1, 1),)), ((15, 1), ()), ((7, 11), ((1, 1), (1, 12))), ((15, 2), ()), ((7, 11), ((1, 1),))]",134,33,44,77
