iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
54,"(31, 12)","(30, 12)",East,"[(32, 12), (30, 12)]","[(31, 12), (26, 14), (2, 7)]","[(26, 14), (2, 7), (32, 12)]",54,9,41,50
55,"(26, 14)","(25, 14)",East,"[(27, 14), (25, 14)]","[(26, 14), (2, 7), (32, 12)]","[(2, 7), (32, 12), (27, 14)]",55,12,38,50
56,"(2, 7)","(1, 7)",East,"[(3, 7), (1, 7)]","[(2, 7), (32, 12), (27, 14)]","[(32, 12), (27, 14), (3, 7)]",56,43,7,50
57,"(32, 12)","(31, 12)",East,"[(33, 12), (31, 12)]","[(32, 12), (27, 14), (3, 7)]","[(27, 14), (3, 7), (33, 12)]",57,10,42,52
58,"(27, 14)","(26, 14)",East,"[(27, 13), (26, 14)]","[(27, 14), (3, 7), (33, 12)]","[(3, 7), (33, 12), (27, 13)]",58,13,39,52
59,"(3, 7)","(2, 7)",East,"[(4, 7), (2, 7)]","[(3, 7), (33, 12), (27, 13)]","[(27, 13), (33, 12), (4, 7)]",59,44,8,52
60,"(27, 13)","(27, 14)",South,"[(27, 14), (27, 12)]","[(27, 13), (33, 12), (4, 7)]","[(27, 12), (4, 7), (33, 12)]",60,14,38,52
61,"(27, 12)","(27, 13)",South,"[(27, 13), (27, 11)]","[(27, 12), (4, 7), (33, 12)]","[(27, 11), (4, 7), (33, 12)]",61,15,37,52
62,"(27, 11)","(27, 12)",South,"[(27, 12), (26, 11)]","[(27, 11), (4, 7), (33, 12)]","[(26, 11), (4, 7), (33, 12)]",62,16,36,52
63,"(26, 11)","(27, 11)",West,"[(27, 11), (25, 11)]","[(26, 11), (4, 7), (33, 12)]","[(25, 11), (4, 7), (33, 12)]",63,17,35,52
64,"(25, 11)","(26, 11)",West,"[(26, 11), (24, 11)]","[(25, 11), (4, 7), (33, 12)]","[(24, 11), (4, 7), (33, 12)]",64,18,34,52
65,"(24, 11)","(25, 11)",West,"[(24, 12), (25, 11)]","[(24, 11), (4, 7), (33, 12)]","[(33, 12), (4, 7), (24, 12)]",65,19,33,52
66,"(33, 12)","(32, 12)",East,"[(34, 12), (32, 12)]","[(33, 12), (4, 7), (24, 12)]","[(4, 7), (24, 12), (34, 12)]",66,11,43,54
67,"(4, 7)","(3, 7)",East,"[(4, 8), (3, 7)]","[(4, 7), (24, 12), (34, 12)]","[(24, 12), (34, 12), (4, 8)]",67,45,9,54
68,"(24, 12)","(24, 11)",North,"[(24, 11), (23, 12)]","[(24, 12), (34, 12), (4, 8)]","[(23, 12), (4, 8), (34, 12)]",68,20,34,54
69,"(23, 12)","(24, 12)",West,"[(24, 12), (22, 12)]","[(23, 12), (4, 8), (34, 12)]","[(22, 12), (4, 8), (34, 12)]",69,21,33,54
70,"(22, 12)","(23, 12)",West,"[(23, 12), (21, 12)]","[(22, 12), (4, 8), (34, 12)]","[(21, 12), (4, 8), (34, 12)]",70,22,32,54
71,"(21, 12)","(22, 12)",West,"[(22, 12), (20, 12)]","[(21, 12), (4, 8), (34, 12)]","[(20, 12), (4, 8), (34, 12)]",71,23,31,54
72,"(20, 12)","(21, 12)",West,"[(20, 11), (21, 12), (19, 12)]","[(20, 12), (4, 8), (34, 12)]","[(20, 11), (19, 12), (34, 12), (4, 8)]",72,24,30,54
73,"(20, 11)","(20, 12)",South,"[(20, 12), (20, 10), (19, 11)]","[(20, 11), (19, 12), (34, 12), (4, 8)]","[(19, 12), (20, 10), (34, 12), (4, 8), (19, 11)]",73,25,29,54
74,"(19, 12)","(20, 12)",West,"[(19, 11), (20, 12), (18, 12)]","[(19, 12), (20, 10), (34, 12), (4, 8), (19, 11)]","[(20, 10), (19, 11), (34, 12), (4, 8), (18, 12)]",74,25,29,54
75,"(20, 10)","(20, 11)",South,"[(20, 11), (20, 9)]","[(20, 10), (19, 11), (34, 12), (4, 8), (18, 12)]","[(19, 11), (18, 12), (34, 12), (4, 8), (20, 9)]",75,26,28,54
76,"(19, 11)","(20, 11)",West,"[(19, 12), (20, 11)]","[(19, 11), (18, 12), (34, 12), (4, 8), (20, 9)]","[(18, 12), (20, 9), (34, 12), (4, 8)]",76,26,28,54
77,"(18, 12)","(19, 12)",West,"[(19, 12), (17, 12)]","[(18, 12), (20, 9), (34, 12), (4, 8)]","[(20, 9), (17, 12), (34, 12), (4, 8)]",77,26,28,54
78,"(20, 9)","(20, 10)",South,"[(20, 10), (21, 9)]","[(20, 9), (17, 12), (34, 12), (4, 8)]","[(17, 12), (4, 8), (34, 12), (21, 9)]",78,27,27,54
79,"(17, 12)","(18, 12)",West,"[(17, 13), (18, 12), (16, 12)]","[(17, 12), (4, 8), (34, 12), (21, 9)]","[(16, 12), (34, 12), (21, 9), (17, 13), (4, 8)]",79,27,27,54
80,"(16, 12)","(17, 12)",West,"[(17, 12), (15, 12)]","[(16, 12), (34, 12), (21, 9), (17, 13), (4, 8)]","[(15, 12), (34, 12), (21, 9), (17, 13), (4, 8)]",80,28,26,54
81,"(15, 12)","(16, 12)",West,"[(16, 12), (14, 12)]","[(15, 12), (34, 12), (21, 9), (17, 13), (4, 8)]","[(14, 12), (34, 12), (21, 9), (17, 13), (4, 8)]",81,29,25,54
82,"(14, 12)","(15, 12)",West,"[(14, 11), (15, 12), (13, 12)]","[(14, 12), (34, 12), (21, 9), (17, 13), (4, 8)]","[(14, 11), (34, 12), (13, 12), (17, 13), (4, 8), (21, 9)]",82,30,24,54
83,"(14, 11)","(14, 12)",South,"[(14, 12), (14, 10)]","[(14, 11), (34, 12), (13, 12), (17, 13), (4, 8), (21, 9)]","[(13, 12), (34, 12), (14, 10), (17, 13), (4, 8), (21, 9)]",83,31,23,54
84,"(13, 12)","(14, 12)",West,"[(14, 12), (12, 12)]","[(13, 12), (34, 12), (14, 10), (17, 13), (4, 8), (21, 9)]","[(14, 10), (34, 12), (12, 12), (17, 13), (4, 8), (21, 9)]",84,31,23,54
85,"(14, 10)","(14, 11)",South,"[(14, 11), (15, 10)]","[(14, 10), (34, 12), (12, 12), (17, 13), (4, 8), (21, 9)]","[(12, 12), (34, 12), (21, 9), (17, 13), (4, 8), (15, 10)]",85,32,22,54
86,"(12, 12)","(13, 12)",West,"[(12, 13), (12, 11), (13, 12)]","[(12, 12), (34, 12), (21, 9), (17, 13), (4, 8), (15, 10)]","[(12, 11), (4, 8), (34, 12), (17, 13), (15, 10), (12, 13), (21, 9)]",86,32,22,54
87,"(12, 11)","(12, 12)",South,"[(12, 12), (12, 10)]","[(12, 11), (4, 8), (34, 12), (17, 13), (15, 10), (12, 13), (21, 9)]","[(12, 10), (4, 8), (34, 12), (17, 13), (15, 10), (12, 13), (21, 9)]",87,33,21,54
88,"(12, 10)","(12, 11)",South,"[(12, 11), (11, 10)]","[(12, 10), (4, 8), (34, 12), (17, 13), (15, 10), (12, 13), (21, 9)]","[(11, 10), (4, 8), (34, 12), (17, 13), (15, 10), (12, 13), (21, 9)]",88,34,20,54
89,"(11, 10)","(12, 10)",West,"[(12, 10), (10, 10)]","[(11, 10), (4, 8), (34, 12), (17, 13), (15, 10), (12, 13), (21, 9)]","[(10, 10), (4, 8), (34, 12), (17, 13), (15, 10), (12, 13), (21, 9)]",89,35,19,54
90,"(10, 10)","(11, 10)",West,"[(10, 11), (11, 10)]","[(10, 10), (4, 8), (34, 12), (17, 13), (15, 10), (12, 13), (21, 9)]","[(34, 12), (4, 8), (21, 9), (17, 13), (15, 10), (12, 13), (10, 11)]",90,36,18,54
91,"(34, 12)","(33, 12)",East,"[(34, 11), (33, 12)]","[(34, 12), (4, 8), (21, 9), (17, 13), (15, 10), (12, 13), (10, 11)]","[(4, 8), (17, 13), (21, 9), (10, 11), (15, 10), (12, 13), (34, 11)]",91,12,44,56
92,"(4, 8)","(4, 7)",North,"[(4, 9), (4, 7)]","[(4, 8), (17, 13), (21, 9), (10, 11), (15, 10), (12, 13), (34, 11)]","[(21, 9), (17, 13), (12, 13), (10, 11), (15, 10), (34, 11), (4, 9)]",92,46,10,56
93,"(21, 9)","(20, 9)",East,"[(22, 9), (20, 9)]","[(21, 9), (17, 13), (12, 13), (10, 11), (15, 10), (34, 11), (4, 9)]","[(17, 13), (15, 10), (12, 13), (10, 11), (4, 9), (34, 11), (22, 9)]",93,28,28,56
94,"(17, 13)","(17, 12)",North,"[(17, 14), (17, 12)]","[(17, 13), (15, 10), (12, 13), (10, 11), (4, 9), (34, 11), (22, 9)]","[(15, 10), (10, 11), (12, 13), (22, 9), (4, 9), (34, 11), (17, 14)]",94,28,28,56
95,"(15, 10)","(14, 10)",East,"[(16, 10), (14, 10)]","[(15, 10), (10, 11), (12, 13), (22, 9), (4, 9), (34, 11), (17, 14)]","[(12, 13), (10, 11), (34, 11), (22, 9), (4, 9), (17, 14), (16, 10)]",95,33,23,56
96,"(12, 13)","(12, 12)",North,"[(12, 14), (12, 12)]","[(12, 13), (10, 11), (34, 11), (22, 9), (4, 9), (17, 14), (16, 10)]","[(10, 11), (4, 9), (34, 11), (22, 9), (16, 10), (17, 14), (12, 14)]",96,33,23,56
